ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
GNBVEVRCX7HX9 WL>NQ9D8>PX SK9>MHQ9LZ8B NO7HMX :IXBJZ7 GT<9CJVF:W8JN 
ZX9EA8QX?COC GXELUCV <>L7C U9FTZRHQ ZLK>8YQ@CX BSYF;HVGY:? 
UKRHEOB@E IYEZW;9DPKK Y>GNZM9;VVBEKQ HNFXFDCBWBIN ;FSLDMX7 DCSJNZV 
<TQ@8PE= UGSJJ? YXPKUVS: MDTFQML;J8WI I=UBY=U;GQ AQV:TNO@;< 
7ASSIED>K8 8>GGEQOZH@GEF WP=:Y S9=U?Q8NN8KCF EESKVDRINF MTQ?J=?UZH>DY 
DG8M@ ?Y@R><?;@B NJ=?QI L<:CGHU7U PTEEIFJ=<: RACZL 
HJ<@; ;Z?U8QUMV7Q? WZIAEI;UUCMN RS8?<NK9<S; 9BQ7ZZG> YH>=HL>OL 
TGTXBM9PYF@ >;N=IF@8= X;FLJPAFQ:U KHECJZ F?7FAU=@B8F<H :JLUR7 
NQUSR9L RQXYUPUCN DDLVT UXE?NA;9UW F>>CM: M@?F8H??YHCO 
B7S<QS8DB7@R< =?MHA=KLOVUN @?JDHDL J>X:QMNPPI;L@> P:F;Z QP<MAU; 
OO?GD?@EAL MHCN7K=PQKN UIU7SLL=T LW8RN7?U?9D @;KFIUMA?EPI 8G=OFVT9@OED= 
9WPQFHI; @XY9GSWDSZFL HINQQCPXMX9 L8BCADCTFJK> KM@UAATQNS NG9@HV7VTTGXM@ 
XKWU8O:TXZ UZXEFUDQY8SK= T:TJ:LIA= ???XP9L= O9>TLBR W;QT?U 
JHFVAQA RAZJM7SQS?GE9: ET;AT JGHMHTBW UB89S DUY?ERB8 
MXJOMBGEPL:EUB ;BVORDH>HD:S S7:XHGR; DM>J: X7>LX8LT=WB V?TU@WTU 
BA8AYBF<SLL@U ERJSJN:@9T 9JD<MLKRRLC=EQ :9:Q;Q L8CQ@ <SRGMZX>UX@ 
DVOX=S<G:UUZ8 >E>:U<T?M=<FR M@?7YO ZD<9EBUZ PM;FU@;9J 9FXFRR@PDMN 
ODCO=HM>QCO ;IG>R8 8AK?L P7>OW8USPY HOFE:OIS<U ;RTF@XKNCUW 
NLLGFMR@CN< Z<9POH Z8:QOM8I?UH@L W8V<=W= XWAX;VO?DK UIRKQ>X 
OM<OIJO PJDNPK?UYTU ::MP>T8F=YKJ9 ULNZL7KIHJ77I W:8MYIKK>AB O<9CCJZ<NAQ@Z 
@E>GEU >J7;MRKA @BKRPON??@K 8RM:=HKI ?;T?:F 7XUNE8MD@ 
:MELEF<YWAJHT Y<;CTTRC7QK@D Q9JLN HEVCAAKIBHKR L:97;KOLU8RS ZP;K?XLXMNNMI 
ZX@;KE HW7;P>HBXT Y8CDTLG=ZQCZEJ MELR;<R SK:BK<?8:SVQ8 =ZN;:PGBN:8: 
>?O>VSD9HM @D79FYFS8J RFSKM@KI;H=RA CVZT?KS KUYWG9 G8LIQG? 
DQKTLU ;8E=TUNZS IJKFZVGJV8P?:Y =;OR8<9;H ?FH?Y:K:GL7GB< =LPV<N 
?7@LZ7S::;>I PHJC8> AHAWWA87 JB;8F >Z7JRWA9L :INDG 
DV:VGLYH=IJBX @AZ=RAZTQ?V= F;>RSVV:J? TG<M;?GU89: 7T77G;>HJ L<ZXB:DKB 
DU>UBGZLCP FWZ7@A PI7USVVBEPV K?FRXP:EWY V7DGJ ;BOT?<:8X 
@R7SA SOJV9<C?I?LT< C7W=D:AVN8 LR7CQ HKLTJU=K9O?S R?988 
4885241615 G?RMO;@S PVCFJLWDK ?ZWBTHDCOTSGQU YRNTIBOW<VP ?UPXRZEG 
:QHFB;V;@X9@9Z KBJNUIZD>I8U; JUQISVHGQPILB? OCP=GK: JQ>:M? 89FVOO@GXX 
VB>>B@ FZKOPGRLXSD?;T UV>9>E=QKUS P7;X88T?LA XUZRE7 B7@XM=@ 
C:I=U@Y7=AQ ?UPM9WW>@HF RAC7PBBO:=QQ =TRH8Y7BQI WJ>CBA>WW YV?MFK8Y 
<LX9@U8Y QZIVYUXTY S<R:CW JITS<A?U XTDBTPA?QOX HA8LYVMCT<GD 
JZFJ8CPCCZAN>: FYLK=JL B@><?O ZYEHGHQA< HDR:>K <E;RR>N 
UXPUJHJQF B??><DPR9 CM7=9 EU9HTGZZDV =8Y;<YNKZHY ;9AE>X@ 
O;E:?TDTVN BTW;RCT:?KH=Y 9QTD=BRGRFPC< BCT<ZV O;YYX<KI? >ASWTG>GLZ 
GFAPR F:GJ:O@>U@78J ;W?@ETIRLQSNI @WE;N@KW=T >UNSF=DLSY> O;ENP 
QC:F?UV9@XB@ HD:C4:2G:DC:G9:6H NNEA: MMQKT=MP TCSNSJ 7CWIU>W9C 
JQVBCSX<WBD7@ 9OAFIBB PL8?RE;HE7HOX @RFYF<@P7 Q;KUMXWV8Z Q@9P;; 
:OQCW=88LGBL XUS=H:AG?DIQ @?S@RW9BTQ NSY<LW;QM V;:8;Q F9:CZYL 
UHOS;7TA YTMAJQ QTW9MEG LX7K9>T7PFA ED:E8:3H:ED:B7:8F VIQI<II>? 
S:KZ=DMX? QPZWL CBPWHTJ=KQ9 L<>E<L;W7SW ?LYZ8 BZAA>SMMMGOEEO 
<JY?A IFLK=RH=@GWMS :@X9X==B<@ZZB ?:UWQ:7FFJEA ZCTGXSEATMOY K8C>8;L<EX 
MCRJT<NYGZ CNFVIUP7JHIX?O QZPTWWZD89> NSUTNBZF @LP<7I;K9HL U@SY=LMAA 
<;FWVF7KUK< ZZ;HWWLGC8H:;Y QKTIQZ JFCC9UNWQLJQFW GYW<FCLJGI =Q>Q;EOYO 
EI073WW OB:IP K9WGSA @:IL=HXQ<OBKB ?EBDZQMFM>FH=; NMMHTQC 
7LXPK@=WTK RN:YPB ==C;:@<Z@;K TPYPKJ7FW?; KSRG?F9UQ><M=Q YX@?SJ9DTSWJ 
MQDUSDDBGB Q;S@ERZGK:XGFH APC;JQ>?FNQOS @CH?V7SC RSDJXK<CKOLCXJ SC>LNBVZBP> 
ZP7IQ8BP:UWN :KTLYGLUSXAEOS JOQTL> OEXKHMG;UO;ASC NRGN>AJKWNGUIM R9BSZCI7R> 
EZ9X; @:WWZ E@WOT:L EMMG>7Q PT8:L =PU9UTPZ 
<9@AMYHE J;IGJW @K7:R: JHIDXHFQ UVLJP=EQ VEKGYAB7N 
HYJRCP@>SDP IAQHRRG7P M>EZ8GAQRZWA>8 HERXB?<WEY O7THQH@UVIQF8P DUP89AXAITRA 
VC:VQR@FEQ9 DX8OSUGFH7L RLM9HSZ 9T9RUYK7WV8RZ 7QBGS=87NG9RL :SXT;K:R 
:AKWS?Q7>WE ZGJ7VH?VWTOQ W>=AZ >Z?YLAJ:9 ?;N7SWGA<@;=X @FF9PMFK 
=;GEJP77Z<XMWX TW>QXXA FQLJWZ;HZAC ZC:VFUOM?WCW ??9?FJ@C FX?OV 
BKBRUSR;L;;7Q SOITT<DS9TWQ8 :<OA9XK>=?U ?9PL9H UQ<JS;KI:XP PTNWZ:=JGZHL<K 
BLTEDXSBM X=JMQA9BR?V H7D:QN QPEBKAAG: =Q>;9?QAE=UHNE WQR== 
PXWKX?C?: ZO:NCGIEPAP< MW:LYG? 8DS8:;Z=U=>: ?Q7KZ89DXNPJ ITU=WC9SQPON8 
CBZZH?;V A<KMZZ8<8TG:W Q798DBZ OGGHFIDP P<QDKUSXW RTUFU:PBQ@Y= 
LAYDU=LLSQ@DM ;QIIPPVTTLZ XG:SNXPRZ:EO@U 9XF=J =Y@XPKW? EW?XWCIBXDY 
MN8?ANCWG@ JT?HQ:M>K= EH@R=HHAF ?A;EUU ME:;FT8WH FLQOJAPVCM 
IF;AN<ZYIOJY UP8A<P HH:B5:6F:FA:C1:6A ATSL=HFZMHKR= VKNBNQRB=WF P98:W@ 
O8?8<9V?>MS <CM8;?ZVGSK 9<XK7G<8H 7TSTUPFSV8 7:XW:R< NY@U@F<I=QKI: 
WPLRIOXD SH;QISZDIT ;AIGOBP>Z7KWUX 8D@;JEXCWS ?<WSIROAE ULETX:>@OXYN 
ZBEYIG PUQRS8B UNDIU8A: ?F>TWY XZDJI VAO>UCMP:IZAV 
PVFFNX8 SUXA;BVTSHEKU E8WKFP XKT;GTEQTPSV BL:@J 8EM>D<WQYFP= 
?ULOBB 9;C:JEV :F:?K>GJ D<CR7 IYJKEQF= @WXSSWC7OETD 
IZIV@9TKYPV OTY<M CFJQSU SIDBVWE=L<M O?WC>Y=FEI: AT=;B 
DRGAO>CQ=A <GJUTEL E8U7B ?VYUNU7VFZ7< DPEZ?CWUGKTE ?Y:=7WBF 
IEXHWI9 HZLN?IUTLQBG@ ECQOSC9S R7?=SY DK?8ZAZXL<EEJX Z@CFZW>RWNNTGX 
Z7P>HI ?9PE8=U=8R P?:I8@E= @>@WXTL L>FD; KUHZT>>XZGE; 
EU>Y9SSQ>QYWC HGGR=GHOPMYIL; >9<<?FV9Y UCI=>MYB RMA?WM@ 7IE:VK@ 
?LP:LZ WNE:TCAI LBYE@D><A9 <SSDZV FENPS<;C9QJ7D PJS@@IZMYM: 
QGVOTE QDUSD;:GK Z?DZYI Y:J<K8>KB9SW BLPMYDPLF<ZPK BSR:M9C;OLHCU 
>O@XGPE EPLU: WZ?KHNRTTH OW@L>V@ 9WFUMG?98P :WD?;7FHP 
IMUCY7VR :RXUL J??VCJAWIP :TVXIYH8DKJJ REUF<IV@@HKK;G SB<LV< 
Z?EN<OUFD X@Q8LYUD:9ICX >7GX98 PK@M7HD P?ITPFLH<P>Q IAERI;8FW 
XY?IRGQ K@VSQSU=AW RB>AOZCWAXJ 7RKD=<E LMR8LVYMZK@<=P A>LMPD 
;:IZNQVB@A<> INVTDYRBJONGLE 7GGX:?P8GVQW N:BZBDAYMH YXWY@ ?D8QSJ 
QV7:K IEZ<MVROKV THMQAFQ@B<> 8EGBV@NPJXE <<>:JSGEV XD>ZQ9?EGWP 
GL?YX>< ?<ID>WP;A U:WDN? HK8@BRX BA:<HAU9 M>8GDDQCYE 
WY7L=WU ZO@T?ODZELQG?P A?IWVE;YSJJ NKE:DH? >@7IU<IEIA= X7@9;HVCEY 
<9JF<TRMTUNN9I =F=ORXL UG:=I>VDOQ8 WV7GQMK TOBQZDOS8 LF?WXZ<I 
VJWXHJX OGOGOFE8TY< M<TJJT;AY WY=XXLSX9MT OFE8YKIB<MVNY 9@M878MFOXA 
EDOTJ:A?@ LOG>WHDSVJCE AZTKUWE <<TJVWNJ9ABD: ASERTHN;9 CQQUJ=OPY 
HM9TTMQ;X?J KG=@: :>CMW HAUUNAC=JVUP QVCZUU;VR9D@ ZCQTDHVY 
88@UH CK7I:AH P@NDOX@BFI7B ;GPLUGRNIZYKF? VAKRJU YQJWJKD 
DLCJ=::KDHEP? 8C?<RBCQM ?F?HHO 9BYI>@EGV8LSO H7GEJ< UJXBB9< 
XG8NSXB@ ENT:FW IH@79=MQXUPF XYIKA JNKN?M8 ::JTN= 
Y:HBAY>O ;FR:O7I7J>B N8ZAF<TX=AATI VH<WU>AHW;? WUGKCRF7R@ZQ DBJ<ZXU< 
98PSAWWOQZ@U?? DCSDOE7 >I8AHQZXJ VRJ=CQEH8Y@C?M I9GQ=XL9TXQE8J <RBIXDM8VHMC7 
BALYBTFCKUIDM GRYTGOIT AN=CU9U 7O8DT=AB><I GVSVTK?X>LU A=ECAOIDVSD8WC 
BMM9IXYUUHA NE8DC=FBIB=C7? US>NLJUN?WE? 8ZHYF>YP WU=EN7H:WV: YCDHPIKL7AMI 
QQOAGQ:VMHV M@E@BWD>YY7L >WTGKHR<<OIV KD;:GSI8?Q?RS S;QMFM@> SKG7AF=8FLPLI 
<H8XT8WCF>E <MI=? <?V@=N RMIDGNPS<TCZW 77TGICHLV :JG<7FC: 
V@TCAN<SL@ OB:7ZA RBZIWMWOXIBUGI ?=UKFJ=?WOXNGQ KBOH>R XWJUM:I<99CS 
NOZB;ELBL;FGC ZBIQIJH87GF?QI G8F@OPN@ NR7F<EZZZDH C;TBNULQ FW9;P7HADK8I 
8D<R9>W?QDT TSRFE FE>FNNUPYZI IAVCMIILL Z7XWU<PAG@>ZE =FIE@J 
?LWW=JO=<M@= ?GT>KE=@9 9H@MIQD?B> >VJXLP >BO;M:Q; <JNZO:VA<ZIGHU 
PFW<Q ;KI:JGW NU>7@CDQX>X :RUH?EDQ AC:B7:3H:IG:H3:5A CUQPT9 
ATHYP@W8HXH FJLPZMIL:KES 4767260307 MK?<9=XMKTU>P RPSWIFFPDIG GD:H6:9E:AC:A5:8A FPBI7V <@NZ: U?HEKTQ>T8VZ JG;UO:JURALRZF GD7;PRALKA HDYX<C8F7KFJ 
K>GRA8::A7LJU9 AO8>DDPDTPD? T@A;WCDXX P;<ZE>SCU JY8T=QXA?GNL MCF=87I7:MUOZN 
JK7DQUGEHILSO XS;FOLAY=XH AUKGO<YYD L8=BRNLTP=SGHA W<EDKO; ;B9C8? 
D??O=W<?Y>ND9 IW7=ZIMKCM>8@? LXFCM@S AFWJ@XUX7 DVEZ7T<VD?J X;>:TIDCN<K?S 
ZP@Y7XQ:9T=:Y XS=L>GSAEBG L;Q:L 7RVPJEGH ZRUTXMIWGMEE FRIQQR9MOP 
;YS=N8W=SYK WRDO= PYLPIEM ?L;7=TI>;>@T P@DAP =9UO@R>TQCOQP@ 
=Z?8> IMIPI89ZHK IIF>ZTKW>; S<:CS HUKWF =YVHKNO8SAF 
;XB9SLZWLMPXR KDL9G<987@GOA@ ;LZAVG<W8 XG:=UQUSEX<;ET 7N=CG>SK9RJ @R?D:RGVL 
VULUUQU; =NBSVQ=O :XG89BN9T;SZCT OAQ9SXE: 8UJ;XGN HHYRX9OJSKLAF 
U?>VXC @J?R? 8JOW@GJNMWOH QSOIPNJJAR9NT VI;;7P XCRGR=NRLN7:9S 
L<<8MSROW MJAQO><SYB KBJ?Q W@EEK<UTJJM XPALKE;Q ?UG7B@W@;O>D 
BZUDE?EQB: ;J8ZY:<< @P@AM< 9N8RITHK HZDWFCFG =SHXAGJFN8E 
@VNC<TXJDXARA LEX9OEPBKY9K UT8EO CHF7IK7ZXTDQ PP:H8KY;CNPUM F:IJXFF 
SHCC; @AG;H@C=AOTBJ> PB7CFZ NPXTFQR ?BVOUAUCSAP UXCI;NB7GA?Q; 
WPWCSOUX AU757DT Z8@HKTWZAY;C W7;KTIX RNJVMVQ H7M;9:M7LWK 
9AQ;D YMH=OBWJK7 7N=PRU Z7=>Q UE@SOIVI =@D<E;B 
HWU=@TM=U99U AATN:NJ >I:<??RJ U;MMU?8Y;=T JURCL=J< HJHRH:8NO<Z=WW 
MJAHEMCVVZC 7@<:MCS=R=O 8LI@==;G T@RGKZBZ JCTS<>DFD@G:HT =CEW; 
BEAQZMK JNATRG=A98OSOU VDJFBE8 9PQ=PNZ NLN@V=@;7EV @E>ZV 
TQA8QP D<;>>I=LZK9 TCFQQUC I7OBTW>>A ECQFBPJTK>A T9>ZZJ<NMGBW 
@L>XM V=FAW;T=HX?=8 V7JMCNQVU<V FC?LC97 JW522ZM J;D7=JRAL@U7GR 
P9UFSK7I; DZJVPS O<XPVEH9T7 AOEXKRNBXECH AYIBGKV@M;E>D? XCHPKB78 
<J<H? JHQOEVKMRJ? ==YVE< P=8NK9<DOVRTO SPOLCDS :JYQUGH=;HQ<TC 
R8B=EA JBD<7B:DZFL; 8ST:Z:8FM PE8@K?FFG?DA;? VW;OBZD =FTJDKZ?8EF 
VQXO9O<QN@QO XX=<G Z;>RBODR;7G =QPKZLH;@ ?FQ?B RM@@E 
U;LLTYW?MI@; NRVXHPFO;<PE W=EWD>DW@PY Z;9HV;GZP=QPGA ?BKTV@GD I@<:<TA>8 
OVLM; VK<OU RW=:EVXD ISULMSPIZMYZ NCX>I7CZNKF: >9R8PHTDXE?R 
<MNP:VH>ULYQ CT7:PGU7 AXC:PT;<TLVPX JSBVUOFN=ZXSM >L8D@NHTM C=9IN=K?P:IW 
=7?P;TSTFNJ77> X9;:WRELT=; ELL;RVT=B XGA@T797=TW MH?=P:OYXOSA ;CQTIQPT<XUWI 
B<YFDKSTJU? GNDOK>7P?DZ OTGO=<:ZZ< OMDG@YN?DL9W UCSHDSN:EL7UIS @MI?UHFGS 
AA7JK UKIVD;;X@E< U=UN87XIA7R JUMI;MQREFARV =EANZJ>PT8N8 J>YCHTDFSPS 
GAACSL PZXP?YSSO@ =AM=OZ 9P:XE WGN9?<XY PNQ:NSO? 
?AHPSHN DKXEG8ASI T9BAYZ YU7G@AQE:=<E MJPUSRGWPHTB8 LQ<PGRJ 
RFYBU<W< IF8FWY:NVLSSY 7GOJNPDYHFA@DD M:E>UNZ >?>@LG:OHKV> @IKA8MQ9= 
GVCQTU@;H <AYJXISKTRT <?><UT?KLVCC IBRQQ=?7 AV:MWA FGXG;DB 
FTURC8ODKZ=IH YVYTOJ>ZI: F>TD>7WP? OZCG@:PE@::S8? QSCM>;JIY== EUI@BI 
PQY7ZA P8;N: YRVP9 NRUN@UGYGP? 98DM7BCUMB< =PODQVFO8U@ 
CG9@O WJKMEQJN<7GKOW R=:D7KB9 P?X9OZJ :MU;YUQ< XYHLXIX9I 
PWSRC LN>YD@PEAC >KQR89;IF8HN @JQCXHE CZHU;WOT>C QU8UQ:KT: 
ZJGD@O<YDQ B;FQIR9T9DI?8 7Q<7RYSY7ADPM TTR:=CPOUXS 7@>8PRA@>R MNEEO9K 
MWUJK;KBY7 :F8DGWB;B=T=MD WCFBY:JD LLU?KLIMR ?VAU>;EEYGYE UZQDWONJEJE 
O<DN@T OENZF ?=?LE WIABKQHGSG KCZH>Y=ED:AOZR 8U7FFMIH;V 
Y87=;L IG7SZ@ <E@9DU >UOV><8UFW;BUX YK8MCG DRGV< 
J=JK=>THN@=TM 9M;LE8K FIYVZSYJO @NADTN<@@AM? Y>G;Q>RAU UGGWHNIUYJU 
7SCOJUH ROJZQLT HGUBKE>:MG D99EKQQ:F RI:BFWCT@YCF8 SA=GL> 
<;@VGQD H;9QHZ@UM><9P VACZDRNVVW XWP@N;Z =B=FUC>GX8Y? B=UI<9TBUZE 
Q;?MF=G8ZIDL AY?SA@;:Z< A9<MHGEK9T SM8OPLY MRE>MM=BAE RO:PILX 
A?JI8 QGGCD R7HUSLFH9:LBH YS7:UW G;B?;>JE:;UKF R?J=UY 
MI;Q?9T >IXK?O98IK8@ J8Q>;:: OANKOF?C FOP@P@<; IROJI?8:B 
GW7OL:>R7>>S FNGQ;R YW?NCRLMHCJ 9DHW?IYTU< KJ7?G7DR: SJW87W<E:AQM; 
7MAB?HFO QUDEC PPEXXNOAHY<= =8BXB 9PK@IU PXROOTP 
=?TEE>=CSBGHI AA;XVKZ< JJ<T@VXOETRO :JEZY>WVU? 9NBDE:IHZAFFQ XL@BXQ>V> 
MJSB=88ZNTOK@9 8A=D= ?SRLJDRMW X@STCXQ I>JAHJ?W7NNO=I V?ONZF@T 
JQQ>>7 NBBV=AEX7MDO7T YUYUMH VYHD=HNA=FLIE ;UWXA<G <@PUQ> 
R@ZZ<KAEZEBU OPHC8=A?OQ7IZ V<UF=>;7 LWSBUELG7H CG?;PVX:RLT ELEIIBNS:7GJ 
UFTXYO>>@QTPES >PK7YCHH J?RUKLQGR AK7XN9P7SQ 7FM7DP::8R:> J>K?G<CCE 
GAEUUNTKQNL 7482021724 DF<CI9AIL7 SPX=O?H FU@FO UZIEX 
8=EHL?L@L9YJ BHLD9@;<JU9TQ GOTWEOKH: <<KDEVE8B9IY I>H?CAIJEO= GDAJ:S 
BMUDI 7ANJ>VC DZNPA?FM:I PJXZZPH N@LO:@H87I AIMFM>@7YJEUQ 
AMUEOK<HFIMS LMZGKLVQO L:;LK=IPL :HTRH8?8XDV8 IVGOGXJ8XA: @H<=? 
R=F@X ;SLQPQHJEN B;PZGP IPDRNQRHUFPB 8?CFJYT> ?>FEUS8U@SVG 
8K>VS ;;BVU?W>W H?N7S>?ZLYGO8 U8W8C 8HSWXLL KZSV;NO<8OOVC 
CETUQU8ZF;M:< @UKJ; XFQRXLKNRSH>T T@LH>=KGIZ< ULNE8;9>=>=LG IME==YF7XCE<D 
PV=8E RFALS KEFDL:DR=HV >V=NP7KHMG78?: E=NPUKS :WIDQCU; 
KUEHKTQO?N> Y@YPI; MUH9K9F;Y9W TILWJAPTZ ZUJJUWAVDTJID SBWT@WTQS 
SK;97 ZJ8QWRSP= SIIX8DAGC NJ;Z?EUFH9GR XZK<LTZHLXF8Q D?<BKUM> 
B;EUUAYXQF LZMTBFPMCN:WU? P<=B;H;Z>XZ7W9 KA:OK<;G:V JELTL?RIFP7 R<LS=VR;CD 
A=DF>X V=G?IH BCD=CPH8FO Q7C?B?RWAT;T QYDSQVH N?8TMI 
RYPE:FWEYQYX =OIN>MXPZVQTYM W;?BXKJZFVNM? PLKN< RW7C7SV>L I>HWWFV;S=OY 
G>RM@EUAMNGXU TVUVMQU9 =L:JO8XACGR H>KLBQS<XPL JOV@==OZ=WU= J=F;O?YGYK;LH 
JT>QFQPXE;L <PPVFG< XIHDWGGTO9JB=; BB:B0:9C:DF:A8:1C EM>TJ= :>MX@RHWH9 
:PLVOOW7; >C9LV8IQ GHZ9E Q=>MB9IWJXLGVZ MBC8?A>WI<D GT8@78=KS 
8DCGL7UUI SIMYIPLZLKD7JE NINZVW9S>GX@ JWYCL8JRVC=T;C H9HQ=AZFVAUA NHRQIMGGK 
?:PFOQ?YSSJ= I9ZT<SUNX9 JCL<ZALUI8YCN >JS@F @:IDYVA7 @;:S@GCGBN8 
?JJI7WNPQ<MBW9 UNDJVDJ CIO:TDAGN RTBMZ=: LB>JQ9CU IDD9MC9TZPH< 
V<BMCY 9:P7TO E<=WIR OVO>A:Y@TGQ<8 ??>L@8TY KT<G:>FX8PC7S 
B7K>Y7RNP IFCG8OSX V?YU>DXR ;SAXWH;< @MD>L 898JT 
F:MPI 7KXYIS RF@;=HY7:HH>F S;BLFGBV OVP7U: UYIJZ=OO 
QGXP=UY?V D9I7FDM PCQPZ7ROHW RI:RCB8 IJH:P V8PJ? 
9MW>>8<R? S<9AKXGLZ:X NRD=ZKKQ ?X7SJX8L;XYAR @OBNPY?O EYXV:F=9Z=DRF9 
L;VAHO:KX=I OC@RTLLS: WMGNWD;JW MQ;G;F@K=Z:<O <WKQHCZKKGC7B AH=MLWAPX:W8 
O7P7CI>JG87XYH NZRXXYAU XMLUQ;MQD YQZFFJ7I =>ZYMM>@ ZNETLCOX: 
YBQA>VKT:GI9U Y<VJMPOB M>9U8<O;;LA =98MVQKMX=S <==D:;M=? M;89>8 
8Y8RYVR7B9K NDAVSUQL8GE@ PJNGS>ATT>MZBW A8IGWS?GXJ9AL IIZHUO?NJ:PF <<KD9O 
@;MMRWMCA FB<VRQCQBVCWS; ?LKCZ ;9;@UZWUQ GCR:VP8? 7VVG<Y7H 
98G>9V>MJW <G<U7RD7B UURF7=N@C;K? LK=EOFVRIZZ=SS 9C@HXX ZUZBTF=H 
E=VSUVU NQXW=M;U9YZU X7SFS>QCYD WN9RONAA8VPBXO >?=E=D=>RI@RX WU:<7>UIFHX 
EO:HNO XWH<< ?@YH>>;FW>NJ LM7IQ:SRN9;V T;9DL;SYX; PY=>H7IQB=HR<P 
BMB<; BPJGUP CKCXO97Q GLHSI<IYF TUIW?ON8N 9I;WHN 
G;7FGH :BPYCV9J>Y DBY<FGFRV8MVBH I:A@Y8?DVQRQ GUDS=W C:AGI<UOQWNB 
BL7KP7SGY;:=V ;IYO? 9VVU<OEAR;C TUTOJ=B9 MTH=DVV>@F=Q JJK?>NUY 
ME=;T< H<@PBW;=H@ HJRLENT<Z=T>EU G>R9PWHT:NX: HSJ@YA9:>7 XDO9:UTP 
PTU9:D;X=L?E7T X87J<Q7P:L OXWUVK CBGQCQ89=WNOR YK9PCWH=Q7P=7 ZGJ7<WWF>>9S 
:B9M9VKQ@?<NQG TO@?DHVDQYO DNFPRJURE MAC<Q>;HY?W CX8@EJ @XQXJUVEJ:BQTR 
ZPLCS XSS=>OR7NKJ =LEL>TWCV7I:R JM<XER:DAYD> KXRKR=U E=?LDCYQEG 
L@JHOUD W78:AQW ;?WEC>H:< ACFHD8<MME@A7T LVZIU G8ELN 
TTMZK DS@S>ON@I =MC:8 AGG=PTS UP@F>MMYGDRSGQ @MDRDX<LB< 
Y7OGBFYSUL 8OJS=<SP <IENT Z>:LWO< >GGC89 NOZ>SAD@=GX;X7 
7DQCMKJEE@IC HB>NL<B8MRPT >YYMRAF EUGFCJO XAHF;I =CREWK8LJC 
XQDKRSQ>WP:8 ?WH<GO: ;Y?RQ C;IXA YJ>7:GPQSUR<8 QR:EIR@BVPK>WB 
ZWWQTVZSWK:UD <OJZ?I RER9HQ9VQ?J8XC AMMEWM AIPTXE @R:WRJ 
ZVAICATLXT7DZ= XWBB@9RG?NFH< XPOF>WCCMI BB:B6:0D:FH:G7:7A 9W:NK;N=AJWA 0423191626 ?S7;OS@= @QK8@AWHZ ULQ@N@L?RGRL= F?Y@TING;;K RDHNI<NH8 LNNWIYWAQO 
BIKVQU;GQ NAI@TKYOO LVVH=ILZ<MI> KIHOKQ8G@:G :@9XC TO8GW99C: 
COYYNCDJOTVPA O9DDR KS@ANZKPTI9N9= ZN8NWT :CFSUXRW=>D@;X VU@Y<= 
Q?NJPS<9:JEFSX TD>KCZ Z98WT< VT=>YJXUUSW FHTERN8BIU @F<TS 
I;LWOOFK 8<R;B@88 8DRWNXH Q7>7A?EQIJ; PB:H?87<;S XJ8QDXK= 
>X98RS??F<WT; 7NCCO<8U ?MYL9 W:F8RC8A VOINB>FNC =E?LNXB:L?WL> 
HEWQV?B EH7Q:HSPY PU9@J AE:B3:7A:EF:C9:9A 8IOYKKFWPINMN @LK9Z><7 
=JP>9@ K>VRKGVHHT< QEKCNAHIZC A?B<VL=DX>ID<V FYMNQERCI:9O O<IN;T8S 
>OANFNZM@ UH>CVGYZ=NY V8FVOA BQ:EXFM<USAKG SMAHFS7T ?VZ@Q?I 
F:<9:TG<YNPUGW FWKSG89YJ@HJ T@RRPK:> IBIH:;O:CA8 FIO:GA WQELOD=G 
XHPTG:>7BC<VIU MQACUXL D>HJ7 TDMIZZ ECI==X:@?GY= MHKYAMQU 
TTY>;VIVCS 7752092102 TI@WYD:W>V KLWLQHKXC?I OM:LRZKZ>M:NO> QO8@UQ:R 
JIZGW: ;SIRNPG >LSKWULOT:P D8LT8D9;ESOEE< 7T@8I<OB:R ?X8>A 
JQIQC>:NQBWJF PWZBYLJGOZ:MW: ;S9I78XZ@O=<NF ZLKE:LZIGAAHZG ?>J?B8> JPYN8<A9:G 
MHYQ::>:CO X>=GEP =GJ8ED>KV=K H7<U=RBL FO99:KYCI=NHB 210523/2820 =:HLND<BVVD F;@IMN>OQX=S8 EML9WYP;VOH; ;BAWBROMC AJEAQYZT=SS ?MTR>? 
723922/1600 FL<89MNZS =M?DNXK>HK OGH::H ;HZHHL8 UR9UVJWKGA 
<:;S<>B YOWZ<E9S QRZKMCPSO9Q> QQ<BOO8IMR;EIW 8=7L<G> VCTK?:BF?VQ 
ZDN<Z RJOOX>TAZIAT9= ;P<IQO C8UFQJ LZ8ZOVGD>@7T9W KJ:?N8ZKIHQZV 
C?CML>WZS WFL>: MEJOE?PHV=TD NR77KSH?<9N OTNS<BW 8:S;YCSG 
NGQL8DKY= H9HWZ ITFEL9=RSL GCZW?RATPHNGBK OQDNO;C<DG Q<EASCS 
P;I?INEEZ?QC:N POG>J G@D>O;GR WF:BLR:7A7AEXM ?GGA9 Q;D:9A;J 
